time_s,amcl_x,amcl_y,left_velocity_cmd,right_velocity_cmd,real_left_velocity,real_right_velocity,voltage
0.0,,,0.0000,-0.0000,0.0000,0.0000,50.8978
0.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
1.0,,,0.0000,-0.0000,0.0000,0.0000,50.8519
1.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
2.0,,,0.0000,-0.0000,0.0000,0.0000,50.8060
2.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
3.0,,,0.0000,-0.0000,0.0000,0.0000,50.8060
3.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
4.0,,,0.0000,-0.0000,0.0000,-0.0153,50.8672
4.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
5.0,,,0.0000,-0.0000,0.0000,-0.0076,50.8672
5.5,,,0.0000,-0.0000,0.0000,-0.0076,50.9131
6.0,,,0.0000,-0.0000,0.0000,0.0229,50.8213
6.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
7.0,,,0.0000,-0.0000,0.0000,-0.0076,50.8366
7.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
8.0,,,0.0000,-0.0000,0.0000,0.0000,50.8672
8.5,,,0.0000,-0.0000,0.0153,0.0000,50.8366
9.0,,,0.0000,-0.0000,0.0000,0.0000,50.8213
9.5,,,0.0000,-0.0000,0.0000,0.0000,50.8825
10.0,,,0.0000,-0.0000,0.0000,0.0000,50.8672
10.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
11.0,,,0.0000,-0.0000,0.0000,0.0000,50.8366
11.5,,,0.0000,-0.0000,0.0000,0.0000,50.8213
12.0,,,0.0000,-0.0000,0.0000,0.0000,50.8825
12.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
13.0,,,0.0000,-0.0000,0.0000,0.0000,50.8519
13.5,,,0.0000,-0.0000,0.0000,0.0000,50.8519
14.0,,,0.0000,-0.0000,0.0000,0.0000,50.8366
14.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
15.0,,,0.0000,-0.0000,0.0000,0.0000,50.8213
15.5,,,0.0000,-0.0000,-0.0687,0.0534,50.8213
16.0,,,0.0000,-0.0000,-0.5341,0.5646,50.8060
16.5,-0.1300,-0.0002,0.0000,-0.0000,-0.9537,0.9460,50.8825
17.0,-0.2793,-0.0007,0.0000,-0.0000,-0.3281,0.2747,50.8672
17.5,-0.4157,-0.0092,0.0000,-0.0000,0.4501,-0.4120,50.8213
18.0,-0.4157,-0.0092,0.0000,-0.0000,0.8011,-0.9384,50.8060
18.5,-0.2992,-0.0042,0.0000,-0.0000,0.4959,-0.5493,50.8672
19.0,-0.0522,0.0137,0.0000,-0.0000,0.0458,0.0153,50.8672
19.5,-0.0522,0.0137,0.0000,-0.0000,-0.0458,0.0076,50.8672
20.0,-0.0522,0.0137,0.0000,-0.0000,-0.0458,-0.0305,50.8519
20.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
21.0,-0.0522,0.0137,0.0000,-0.0000,-0.0305,0.0000,50.8366
21.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8060
22.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
22.5,-0.0522,0.0137,0.0000,-0.0000,-0.0076,0.0076,50.8978
23.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
23.5,-0.0522,0.0137,0.0000,-0.0000,-0.0229,0.0000,50.8519
24.0,-0.0522,0.0137,0.0000,-0.0000,-0.0305,-0.0229,50.8672
24.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8060
25.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8366
25.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
26.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
26.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.9438
27.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
27.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
28.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
28.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
29.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
29.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8366
30.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
30.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8213
31.0,-0.0522,0.0137,0.0000,-0.0000,0.0229,0.0000,50.8519
31.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
32.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
32.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0229,50.8213
33.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
33.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
34.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
34.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8366
35.0,-0.0522,0.0137,0.0000,-0.0000,0.0229,0.0000,50.7907
35.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8213
36.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
36.5,-0.0522,0.0137,0.1108,-0.0732,0.0000,0.0000,50.8672
37.0,-0.0522,0.0137,0.1371,-0.0469,-0.0076,0.0000,50.8672
37.5,-0.0522,0.0137,0.1370,-0.0469,0.0000,0.0000,50.8366
38.0,-0.0522,0.0137,0.1370,-0.0470,0.0000,0.0000,50.8366
38.5,-0.0522,0.0137,0.1408,-0.0482,0.0076,0.0000,50.8060
